State_Name,Assembly_No,Sequence_No,Name,start_date,end_date,days_in_off,delay_apt,Administrative_rule,MLC,Caretaker_CM,Constituency_No,Poll_No,Position,pid,Party,No_Terms,Turncoat,Incumbent,Recontest
Jammu_&_Kashmir,7,1,Dr Farooq Abdullah,9/10/96,18/10/02,2200,0,no,no,0,17,0,1,,JKN,,,,
Jammu_&_Kashmir,8,1,Mufti Mohammad Sayeed,2/11/02,2/11/05,1096,15,no,no,0,46,1,1,,JKPDP,,,,
Jammu_&_Kashmir,8,2,Shri Ghulam Nabi Azad,2/11/05,11/7/08,982,0,no,no,0,54,1,1,,,,,,
Jammu_&_Kashmir,NA,4,Governor's Rule (Shri N N Vora),11/7/08,5/1/09,178,0,yes,no,0,,,,,,,,,
Jammu_&_Kashmir,9,1,Shri Omar Abdullah,5/1/09,8/1/15,2194,0,no,no,0,17,0,1,,JKN,,,,
Jammu_&_Kashmir,10,1,Mufti Mohammad Sayeed 0,3/3/15,7/1/16,310,54,no,no,0,40,0,1,,JKPDP,,,,
Jammu_&_Kashmir,NA,5,Governor's Rule (Shri N N Vora),8/1/16,3/4/16,86,1,yes,no,0,,,,,,,,,
Jammu_&_Kashmir,10,2,Ms Mehbooba Mufti,4/4/16,19/6/18,806,1,no,no,0,40,1,1,,JPDP,,,,
Jammu_&_Kashmir,NA,6,Governor's Rule (Shri Satya Pal Malik),23/8/18,31/10/19,434,65,yes,no,0,,,,,,,,,
Jammu_&_Kashmir,NA,7,Lt. Governor's Rule (Shri Girish Chandra Murmu),31/10/19,5/8/20,279,0,yes,no,0,,,,,,,,,
Karnataka,0,1,Sri B.D.JATTI,16/5/58,9/3/62,1393,,no,no,0,,,,,,,,,
Karnataka,0,1,Sri S.R.KANTHI,14/3/62,20/6/62,98,5,no,no,0,,,,,,,,,
Karnataka,0,2,Sri S.NIJALINGAPPA,21/6/62,14/3/67,1727,1,no,no,0,,,,,,,,,
Karnataka,0,1,Sri S.NIJALINGAPPA,15/3/67,28/5/68,440,1,no,no,0,,,,,,,,,
Karnataka,0,2,Sri VEERENDRA PATIL,29/5/68,18/3/71,1023,1,no,no,0,,,,,,,,,
Karnataka,NA,1,PRESIDENT`S RULE,19/3/71,20/3/72,367,1,yes,no,0,,,,,,,,,
Karnataka,0,1,Sri D.DEVRAJ URS,20/3/72,31/12/77,2112,0,no,no,0,,,,,,,,,
Karnataka,NA,2,PRESIDENTS RULE,31/12/77,28/2/78,59,0,yes,no,0,,,,,,,,,
Karnataka,1,1,Sri D.DEVARAJ URS,28/2/78,7/1/80,678,0,no,no,0,123,0,1,AEKA107930,INC(I),1,FALSE,FALSE,FALSE
